J. no.,J. len [ft],Wt [in],to u/s w. [ft],to d/s w. [ft],Log Dist. [ft],Event Description,ID/OD,Depth [%],Depth [in],OD Reduction [%],OD Reduction [in],Length [in],Width [in],O'clock,Comments,Anomalies per Joint,Tool Velocity [ft/s],Elevation [ft],Seam Position (TFI),Tool   (TFI),Seam Anomaly  (TFI),MOP [PSI],SMYS [PSI],Seam Type,Pdesign [PSI],B31G Psafe [PSI],B31G Pburst [PSI],Mod B31G Psafe [PSI],Mod B31G Pburst [PSI],Effective Area Psafe [PSI],Effective Area Pburst [PSI],ERF,RPR,clock_deg_norm,distance_m_std,distance_units_detected,length_mm_std,length_units_detected,width_mm_std,width_units_detected,depth_percent_std,clock_deg_std,feature_type_norm,has_canonical_location,has_canonical_geometry,has_canonical_classification,distance_m_aligned_to_2007
13200.0,,0.344,-39.07,1.04,47400.52,metal loss,External,17.0,0.058,,,1.89,2.01,02:49:00,,,0.7,178.86,,MFL-A/XT,,1160.0,65000.0,,1342.0,1450.47,2013.94,,,,,,,60.0,14447.678496,ft,48.00599999999999,in,51.053999999999995,in,17.0,60.0,,True,True,False,14481.175083950642
13200.0,,0.344,-39.14,0.96,47400.59,metal loss,External,18.0,0.062,,,0.47,1.26,04:34:00,,,0.7,178.87,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.1,2046.75,,,,,,,120.0,14447.699832,ft,11.937999999999999,in,32.004,in,18.0,120.0,,True,True,False,14481.196429987205
13200.0,,0.344,-39.21,0.9,47400.66,metal loss,External,28.0,0.096,,,0.75,1.22,01:56:00,,,0.7,178.89,,MFL-A/XT,,1160.0,65000.0,,1342.0,1467.25,2037.23,1538.41,2136.04,1539.44,2137.48,0.75,1.84,30.0,14447.721168000002,ft,19.049999999999997,in,30.987999999999996,in,28.0,30.0,,True,True,False,14481.217776023768
13200.0,,0.344,-39.22,0.88,47400.67,metal loss,External,12.0,0.041,,,0.67,2.6,09:34:00,,,0.7,178.89,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,270.0,14447.724216,ft,17.018,in,66.03999999999999,in,12.0,270.0,,True,True,False,14481.220825457562
13200.0,,0.344,-39.25,0.86,47400.7,metal loss,External,12.0,0.041,,,0.94,1.14,07:12:00,,,0.7,178.89,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,210.0,14447.73336,ft,23.875999999999998,in,28.955999999999996,in,12.0,210.0,,True,True,False,14481.229973758946
13200.0,,0.344,-39.25,0.85,47400.7,metal loss,External,16.0,0.055,,,0.51,2.84,06:14:00,,,0.7,178.89,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.07,2046.71,,,,,,,180.0,14447.73336,ft,12.953999999999999,in,72.136,in,16.0,180.0,,True,True,False,14481.229973758946
13200.0,,0.344,-39.26,0.85,47400.71,metal loss,External,10.0,0.034,,,0.51,1.85,03:47:00,,,0.7,178.89,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,90.0,14447.736408,ft,12.953999999999999,in,46.99,in,10.0,90.0,,True,True,False,14481.23302319274
13200.0,,0.344,-39.26,0.84,47400.71,metal loss,External,11.0,0.038,,,0.39,1.53,05:36:00,,,0.7,178.9,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,150.0,14447.736408,ft,9.906,in,38.862,in,11.0,150.0,,True,True,False,14481.23302319274
13200.0,,0.344,-39.27,0.84,47400.71,metal loss,External,14.0,0.048,,,0.32,0.59,05:54:00,,,0.7,178.9,,MFL-A/XT,,1160.0,65000.0,,1342.0,1475.43,2048.6,,,,,,,150.0,14447.736408,ft,8.128,in,14.985999999999999,in,14.0,150.0,,True,True,False,14481.23302319274
13210.0,40.04,0.344,,,47401.55,GirthWeld,,,,,,,,,,8.0,0.7,179.03,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14447.992440000002,ft,,in,,in,,,,False,False,False,14481.48917563149
13210.0,,0.344,-0.79,39.24,47402.35,metal loss,External,12.0,0.041,,,1.81,2.48,04:24:00,,,0.7,179.16,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,14448.236280000001,ft,45.974,in,62.992,in,12.0,120.0,,True,True,False,14481.733130335058
13210.0,,0.344,-0.81,39.23,47402.36,metal loss,External,12.0,0.041,,,0.59,1.97,06:57:00,,,0.7,179.16,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,180.0,14448.239328000001,ft,14.985999999999999,in,50.038,in,12.0,180.0,,True,True,False,14481.736179768854
13210.0,,0.344,-0.82,39.21,47402.38,metal loss,External,23.0,0.079,,,0.91,2.01,03:05:00,,,0.7,179.17,,MFL-A/XT,,1160.0,65000.0,,1342.0,1466.11,2035.65,1537.25,2134.43,1538.1,2135.61,0.75,1.84,90.0,14448.245424,ft,23.114,in,51.053999999999995,in,23.0,90.0,,True,True,False,14481.742278636442
13210.0,,0.344,-0.83,39.2,47402.39,metal loss,External,15.0,0.052,,,0.87,4.45,01:53:00,,,0.7,179.17,,MFL-A/XT,,1160.0,65000.0,,1342.0,1470.44,2041.68,,,,,,,30.0,14448.248472000001,ft,22.098,in,113.03,in,15.0,30.0,,True,True,False,14481.745328070238
13210.0,,0.344,-0.84,39.2,47402.39,metal loss,External,13.0,0.045,,,0.87,3.15,03:36:00,,,0.7,179.17,,MFL-A/XT,,1160.0,65000.0,,1342.0,1471.41,2043.01,,,,,,,90.0,14448.248472000001,ft,22.098,in,80.00999999999999,in,13.0,90.0,,True,True,False,14481.745328070238
13210.0,,0.344,-0.99,39.05,47402.54,metal loss,External,14.0,0.048,,,0.71,1.14,09:39:00,,,0.7,179.19,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.65,2044.73,,,,,,,270.0,14448.294192000001,ft,18.034,in,28.955999999999996,in,14.0,270.0,,True,True,False,14481.791069577157
13210.0,,0.344,-11.35,28.68,47412.91,metal loss,External,52.0,0.179,,,0.32,1.34,06:13:00,,,0.7,180.79,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.54,2044.59,1544.02,2143.83,1544.81,2144.93,0.75,1.85,180.0,14451.454968000002,ft,8.128,in,34.036,in,52.0,180.0,,True,True,False,14484.95333242218
13210.0,,0.344,-11.84,28.19,47413.4,metal loss,External,19.0,0.065,,,0.47,1.06,06:37:00,,,0.7,180.86,,MFL-A/XT,,1160.0,65000.0,,1342.0,1473.85,2046.41,,,,,,,180.0,14451.60432,ft,11.937999999999999,in,26.924,in,19.0,180.0,,True,True,False,14485.102754678113
13220.0,39.92,0.344,,,47441.59,GirthWeld,,,,,,,,,,2.0,1.0,183.02,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14460.196632,ft,,in,,in,,,,False,False,False,14493.699108545146
13220.0,,0.344,-6.98,32.94,47448.57,metal loss,External,11.0,0.038,,,0.32,0.59,04:34:00,,,1.0,183.28,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,120.0,14462.324136000001,ft,8.128,in,14.985999999999999,in,11.0,120.0,,True,True,False,14495.827613333795
13220.0,,0.344,-39.02,0.91,47480.61,metal loss,External,15.0,0.052,,,0.67,3.03,04:44:00,,,1.0,183.15,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.73,2044.85,,,,,,,120.0,14472.089928000001,ft,17.018,in,76.96199999999999,in,15.0,120.0,,True,True,False,14505.597999211757
13230.0,40.07,0.344,,,47481.51,GirthWeld,,,,,,,,,,1.0,0.7,183.15,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14472.364248000002,ft,,in,,in,,,,False,False,False,14505.872448253274
13230.0,,0.344,-0.81,39.26,47482.33,metal loss,External,11.0,0.038,,,0.47,1.22,05:07:00,,,0.7,183.14,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,150.0,14472.614184000002,ft,11.937999999999999,in,30.987999999999996,in,11.0,150.0,,True,True,False,14506.122501824433
13240.0,40.1,0.344,,,47521.58,GirthWeld,,,,,,,,,,,0.7,182.91,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14484.577584,ft,,in,,in,,,,False,False,False,14518.091529468316
13250.0,22.86,0.344,,,47561.68,GirthWeld,,,,,,,,,,,0.7,182.3,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14496.800064000001,ft,,in,,in,,,,False,False,False,14530.319758984746
13260.0,40.08,0.344,,,47584.55,GirthWeld,,,,,,,,,,5.0,0.7,182.17,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14503.770840000001,ft,,in,,in,,,,False,False,False,14537.293814073042
13260.0,,0.344,-39.0,1.08,47623.55,cluster,External,26.0,0.089,,,1.91,4.84,06:01:00,,,0.7,181.69,,,,1160.0,65000.0,,1342.0,1434.66,1992.0,1500.45,2083.33,1514.57,2102.94,0.77,1.8,180.0,14515.658040000002,ft,48.513999999999996,in,122.93599999999999,in,26.0,180.0,,True,True,False,14549.186605872063
13260.0,,0.344,-39.12,0.96,47623.67,metal loss,External,13.0,0.045,,,0.43,1.3,04:42:00,,,0.7,181.68,,MFL-A/XT,,1160.0,65000.0,,1342.0,1474.95,2047.93,,,,,,,120.0,14515.694616,ft,10.921999999999999,in,33.019999999999996,in,13.0,120.0,,True,True,False,14549.223199077596
13260.0,,0.344,-39.12,0.96,47623.67,metal loss,External,19.0,0.065,,,1.34,3.46,05:06:00,,,0.7,181.68,,MFL-A/XT,,1160.0,65000.0,,1342.0,1459.8,2026.89,,,,,,,150.0,14515.694616,ft,34.036,in,87.884,in,19.0,150.0,,True,True,False,14549.223199077596
13260.0,,0.344,-39.18,0.91,47623.72,metal loss,External,23.0,0.079,,,0.55,1.14,07:46:00,,,0.7,181.68,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.35,2044.32,1544.24,2144.15,1544.57,2144.59,0.75,1.85,210.0,14515.709856000001,ft,13.97,in,28.955999999999996,in,23.0,210.0,,True,True,False,14549.23844624657
13260.0,,0.344,-39.18,0.9,47623.73,metal loss,External,18.0,0.062,,,0.59,1.42,04:04:00,,,0.7,181.68,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.79,2044.93,,,,,,,120.0,14515.712904000002,ft,14.985999999999999,in,36.068,in,18.0,120.0,,True,True,False,14549.241495680366
13270.0,40.05,0.344,,,47624.63,GirthWeld,,,,,,,,,,,0.7,181.65,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14515.987224,ft,,in,,in,,,,False,False,False,14549.515944721881
13280.0,39.38,0.344,,,47664.68,GirthWeld,,,,,,,,,,,0.7,180.33,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14528.194464,ft,,in,,in,,,,False,False,False,14561.728927069335
13290.0,22.15,0.344,,,47704.06,GirthWeld,,,,,,,,,,,0.7,178.72,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14540.197488,ft,,in,,in,,,,False,False,False,14573.73759735255
13290.0,,,,,47724.31,Attachment,,,,,,,,06:00:00,Repair Marker,,,177.6,,,,,,,,,,,,,,,,180.0,14546.369688,ft,,in,,in,,180.0,,True,False,False,14579.912700786657
13290.0,,,,,47725.08,Area Start Sleeve,,,,,,,,,2012 Dig #35,,,177.53,,,,,,,,,,,,,,,,,14546.604384000002,ft,,in,,in,,,,False,False,False,14580.147507188844
13300.0,36.17,0.344,,,47726.21,GirthWeld,,,,,,,,,,1.0,0.7,177.41,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14546.948808000001,ft,,in,,in,,,,False,False,False,14580.492093207635
13300.0,,0.344,0.0,36.17,47726.21,Dent,,,,1.2,0.288,2.89,11.17,06:05:00,near girth weld Sleeved,,0.7,177.41,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,180.0,14546.948808000001,ft,73.406,in,283.71799999999996,in,,180.0,,True,False,False,14580.492093207635
13300.0,,,,,47727.57,Area End Sleeve,,,,,,,,,2012 Dig #35,,,177.24,,,,,,,,,,,,,,,,,14547.363336,ft,,in,,in,,,,False,False,False,14580.906816203702
13300.0,,,,,47728.43,Attachment,,,,,,,,06:00:00,Repair Marker,,,177.12,,,,,,,,,,,,,,,,180.0,14547.625464,ft,,in,,in,,180.0,,True,False,False,14581.16906751004
13310.0,7.64,0.5,,,47762.38,GirthWeld,,,,,,,,,,,0.7,172.23,,,,1160.0,60000.0,,1800.0,,,,,,,,,,14557.973424,ft,,in,,in,,,,False,False,False,14591.521895242777
13310.0,,,,,47766.4,Bend,,,,,,,,,5.6D -  18° - Sag,,,171.92,,,,,,,,,,,,,,,,,14559.19872,ft,,in,,in,,,,False,False,False,14592.747767628214
13320.0,10.18,0.344,,,47770.02,GirthWeld,,,,,,,,,,1.0,0.7,172.64,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14560.302096,ft,,in,,in,,,,False,False,False,14593.851662661866
13320.0,,0.344,-10.06,0.12,47780.08,metal loss,External,10.0,0.034,,,0.75,1.81,01:06:00,affecting girth weld,,0.7,175.11,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,30.0,14563.368384000001,ft,19.049999999999997,in,45.974,in,10.0,30.0,,True,True,False,14596.919393059256
13330.0,40.12,0.344,,,47780.2,GirthWeld,,,,,,,,,,,0.7,175.14,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14563.40496,ft,,in,,in,,,,False,False,False,14596.95598626479
13340.0,40.02,0.344,,,47820.32,GirthWeld,,,,,,,,,,,1.0,183.44,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14575.633536000001,ft,,in,,in,,,,False,False,False,14609.190314648808
13350.0,40.01,0.344,,,47860.35,GirthWeld,,,,,,,,,,,0.7,187.01,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14587.83468,ft,,in,,in,,,,False,False,False,14621.397198128672
13350.0,,,,,47872.31,AGM,,,,,,,,,AGM#19 AT A/M LF 9/ ON ROW,,,187.52,,,,,,,,,,,,,,,,,14591.480088,ft,,in,,in,,,,False,False,False,14625.044320947038
13360.0,40.05,0.344,,,47900.35,GirthWeld,,,,,,,,,,,0.7,188.7,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14600.02668,ft,,in,,in,,,,False,False,False,14633.594933307155
13370.0,40.05,0.344,,,47940.4,GirthWeld,,,,,,,,,,,0.7,189.92,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14612.23392,ft,,in,,in,,,,False,False,False,14645.807915654608
13380.0,40.04,0.344,,,47980.45,GirthWeld,,,,,,,,,,,0.7,190.31,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14624.44116,ft,,in,,in,,,,False,False,False,14658.020898002063
13390.0,40.07,0.344,,,48020.49,GirthWeld,,,,,,,,,,,0.7,189.96,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14636.645352,ft,,in,,in,,,,False,False,False,14670.230830915723
13400.0,40.08,0.344,,,48060.57,GirthWeld,,,,,,,,,,,0.7,189.53,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14648.861736,ft,,in,,in,,,,False,False,False,14682.452961564562
13410.0,10.97,0.344,,,48100.65,GirthWeld,,,,,,,,,,,0.7,188.46,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14661.078120000002,ft,,in,,in,,,,False,False,False,14694.675092213403
13420.0,15.91,0.344,,,48111.62,GirthWeld,,,,,,,,,,,0.7,188.05,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14664.421776000001,ft,,in,,in,,,,False,False,False,14698.0203210861
13430.0,39.99,0.344,,,48127.52,GirthWeld,,,,,,,,,,,0.7,187.37,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14669.268096,ft,,in,,in,,,,False,False,False,14702.868920819545
13440.0,13.02,0.344,,,48167.51,GirthWeld,,,,,,,,,,,0.7,185.46,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14681.457048000002,ft,,in,,in,,,,False,False,False,14715.063606564234
13450.0,40.17,0.344,,,48180.54,GirthWeld,,,,,,,,,,,0.7,184.77,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14685.428592,ft,,in,,in,,,,False,False,False,14719.037018798623
13460.0,40.19,0.344,,,48220.7,GirthWeld,,,,,,,,,,,0.7,180.11,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14697.66936,ft,,in,,in,,,,False,False,False,14731.283544917818
13470.0,40.11,0.344,,,48260.89,GirthWeld,,,,,,,,,,,0.7,171.84,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14709.919272000001,ft,,in,,in,,,,False,False,False,14743.5392193384
13480.0,40.02,0.344,,,48301.0,GirthWeld,,,,,,,,,,,0.7,158.21,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14722.1448,ft,,in,,in,,,,False,False,False,14755.77049828862
13490.0,40.03,0.344,,,48341.03,GirthWeld,,,,,,,,,,,0.7,144.34,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14734.345944,ft,,in,,in,,,,False,False,False,14767.977381768487
13500.0,40.05,0.344,,,48381.05,GirthWeld,,,,,,,,,,,0.7,131.85,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14746.544040000002,ft,,in,,in,,,,False,False,False,14780.181215814559
13510.0,40.08,0.344,,,48421.1,GirthWeld,,,,,,,,,,,0.7,120.59,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14758.75128,ft,,in,,in,,,,False,False,False,14792.394198162012
13520.0,40.05,0.344,,,48461.19,GirthWeld,,,,,,,,,,,0.7,113.17,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14770.970712000002,ft,,in,,in,,,,False,False,False,14804.619378244646
13530.0,39.91,0.344,,,48501.24,GirthWeld,,,,,,,,,,,0.7,111.31,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14783.177952,ft,,in,,in,,,,False,False,False,14816.8323605921
13540.0,40.02,0.344,,,48541.15,GirthWeld,,,,,,,,,,,0.7,110.81,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14795.342520000002,ft,,in,,in,,,,False,False,False,14829.002650866432
13550.0,8.29,0.344,,,48581.16,GirthWeld,,,,,,,,,,,0.7,110.41,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14807.537568000002,ft,,in,,in,,,,False,False,False,14841.203435478707
13560.0,10.83,0.5,,,48589.45,GirthWeld,,,,,,,,,,,1.0,110.53,,,,1160.0,60000.0,,1800.0,,,,,,,,,,14810.06436,ft,,in,,in,,,,False,False,False,14843.731416094446
13560.0,,,,,48594.98,Bend,,,,,,,,,5.8D -  32° - Over,,,109.88,,,,,,,,,,,,,,,,,14811.749904000002,ft,,in,,in,,,,False,False,False,14845.417752982874
13570.0,7.87,0.344,,,48600.28,GirthWeld,,,,,,,,,,3.0,0.7,106.98,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14813.365344,ft,,in,,in,,,,False,False,False,14847.03395289402
13570.0,,0.344,-7.02,0.85,48607.3,metal loss,External,12.0,0.041,,,1.42,1.77,07:55:00,,,0.7,102.54,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,210.0,14815.505040000002,ft,36.068,in,44.958,in,12.0,210.0,,True,True,False,14849.174655417844
13570.0,,0.344,-7.6,0.27,48607.89,metal loss,External,14.0,0.048,,,1.06,5.79,05:49:00,near girth weld,,0.7,102.18,,MFL-A/XT,,1160.0,65000.0,,1342.0,1468.64,2039.17,,,,,,,150.0,14815.684872,ft,26.924,in,147.066,in,14.0,150.0,,True,True,False,14849.354572011725
13570.0,,0.344,-7.64,0.23,48607.92,metal loss,External,18.0,0.062,,,0.94,4.61,04:05:00,near girth weld,,0.7,102.16,,MFL-A/XT,,1160.0,65000.0,,1342.0,1468.01,2038.3,,,,,,,120.0,14815.694016,ft,23.875999999999998,in,117.09400000000001,in,18.0,120.0,,True,True,False,14849.36372031311
13580.0,10.88,0.5,,,48608.15,GirthWeld,,,,,,,,,,,1.0,102.01,,,,1160.0,60000.0,,1800.0,,,,,,,,,,14815.764120000002,ft,,in,,in,,,,False,False,False,14849.433857290387
13580.0,,,,,48613.4,Bend,,,,,,,,,5.3D -  40° - Sag,,,99.18,,,,,,,,,,,,,,,,,14817.36432,ft,,in,,in,,,,False,False,False,14851.034810032563
13590.0,27.58,0.344,,,48619.03,GirthWeld,,,,,,,,,,,0.7,98.6,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14819.080344,ft,,in,,in,,,,False,False,False,14852.751641258934
13600.0,10.97,0.5,,,48646.6,GirthWeld,,,,,,,,,,,0.7,99.31,,,,1160.0,60000.0,,1800.0,,,,,,,,,,14827.483680000001,ft,,in,,in,,,,False,False,False,14861.158930230702
13600.0,,,,,48652.3,Bend,,,,,,,,,5.9D -  31° - Sag,,,100.17,,,,,,,,,,,,,,,,,14829.221040000002,ft,,in,,in,,,,False,False,False,14862.897107493638
13610.0,9.94,0.344,,,48657.57,GirthWeld,,,,,,,,,,,0.7,103.2,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14830.827336,ft,,in,,in,,,,False,False,False,14864.5041591034
13620.0,8.97,0.5,,,48667.51,GirthWeld,,,,,,,,,,,0.7,109.91,,,,1160.0,60000.0,,1800.0,,,,,,,,,,14833.857048000002,ft,,in,,in,,,,False,False,False,14867.535296295255
13620.0,,,,,48671.93,Bend,,,,,,,,,5.1D -  31° - Over,,,112.62,,,,,,,,,,,,,,,,,14835.204264,ft,,in,,in,,,,False,False,False,14868.883146032475
13630.0,14.98,0.344,,,48676.48,GirthWeld,,,,,,,,,,,1.0,113.9,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14836.591104000001,ft,,in,,in,,,,False,False,False,14870.270638409029
13640.0,40.14,0.344,,,48691.46,GirthWeld,,,,,,,,,,,0.7,117.07,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14841.157008,ft,,in,,in,,,,False,False,False,14874.83869023337
13650.0,40.1,0.344,,,48731.61,GirthWeld,,,,,,,,,,,0.7,127.8,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14853.394728000001,ft,,in,,in,,,,False,False,False,14887.082166918772
13660.0,40.04,0.344,,,48771.71,GirthWeld,,,,,,,,,,,1.0,145.99,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14865.617208,ft,,in,,in,,,,False,False,False,14899.310396435198
13670.0,39.93,0.344,,,48811.75,GirthWeld,,,,,,,,,,,1.0,165.67,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14877.8214,ft,,in,,in,,,,False,False,False,14911.520329348858
13680.0,20.02,0.344,,,48851.68,GirthWeld,,,,,,,,,,,0.7,188.4,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14889.992064,ft,,in,,in,,,,False,False,False,14923.696718490777
13690.0,9.67,0.5,,,48871.7,GirthWeld,,,,,,,,,,,0.7,200.1,,,,1160.0,60000.0,,1800.0,,,,,,,,,,14896.09416,ft,,in,,in,,,,False,False,False,14929.801684947608
13690.0,,,,,48876.99,Bend,,,,,,,,,5.4D -  27° - Over,,,202.66,,,,,,,,,,,,,,,,,14897.706552,ft,,in,,in,,,,False,False,False,14931.414835424961
13700.0,29.29,0.344,,,48881.37,GirthWeld,,,,,,,,,,4.0,1.0,203.11,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14899.041576000001,ft,,in,,in,,,,False,False,False,14932.750487427007
13700.0,,0.344,-0.79,28.5,48882.16,cluster,External,59.0,0.203,,,2.75,2.39,05:14:00,,,1.0,203.14,,,,1160.0,65000.0,,1342.0,1276.7,1772.66,1285.87,1785.4,1417.4,1968.03,0.9,1.54,150.0,14899.282368000002,ft,69.85,in,60.706,in,59.0,150.0,,True,True,False,14932.991392696782
13700.0,,0.344,-0.8,28.49,48882.17,metal loss,External,12.0,0.041,,,0.43,0.67,06:05:00,,,1.0,203.14,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,180.0,14899.285416,ft,10.921999999999999,in,17.018,in,12.0,180.0,,True,True,False,14932.994442130575
13700.0,,0.344,-0.89,28.4,48882.26,cluster,External,43.0,0.148,,,1.92,1.34,06:20:00,,,1.0,203.14,,,,1160.0,65000.0,,1342.0,1396.14,1938.5,1450.84,2014.46,1498.42,2080.51,0.8,1.74,180.0,14899.312848000001,ft,48.767999999999994,in,34.036,in,43.0,180.0,,True,True,False,14933.021887034727
13700.0,,0.344,-0.99,28.3,48882.36,metal loss,External,13.0,0.045,,,0.79,1.22,05:53:00,,,1.0,203.15,,MFL-A/XT,,1160.0,65000.0,,1342.0,1472.26,2044.19,,,,,,,150.0,14899.343328,ft,20.066,in,30.987999999999996,in,13.0,150.0,,True,True,False,14933.052381372672
13710.0,39.83,0.344,,,48910.66,GirthWeld,,,,,,,,,,1.0,1.0,204.62,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14907.969168000001,ft,,in,,in,,,,False,False,False,14941.68227901145
13710.0,,0.344,-24.33,15.5,48934.99,Dent,,,,1.8,0.432,11.37,5.59,05:10:00,,,1.0,206.45,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,150.0,14915.384952,ft,288.79799999999994,in,141.986,in,,150.0,,True,False,False,14949.10155143376
13720.0,40.07,0.344,,,48950.49,GirthWeld,,,,,,,,,,,0.7,207.43,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14920.109352,ft,,in,,in,,,,False,False,False,14953.82817381542
13730.0,40.02,0.344,,,48990.55,GirthWeld,,,,,,,,,,,0.7,209.28,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14932.319640000002,ft,,in,,in,,,,False,False,False,14966.044205596672
13740.0,40.02,0.344,,,49030.58,GirthWeld,,,,,,,,,,,0.7,209.5,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14944.520784000002,ft,,in,,in,,,,False,False,False,14978.251089076539
13750.0,40.03,0.344,,,49070.6,GirthWeld,,,,,,,,,,,0.7,209.37,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14956.71888,ft,,in,,in,,,,False,False,False,14990.454923122606
13760.0,40.01,0.344,,,49110.63,GirthWeld,,,,,,,,,,,1.0,209.53,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14968.920024,ft,,in,,in,,,,False,False,False,15002.661806602471
13770.0,40.08,0.344,,,49150.64,GirthWeld,,,,,,,,,,1.0,0.7,210.38,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14981.115072,ft,,in,,in,,,,False,False,False,15014.862591214749
13770.0,,0.344,-22.95,17.13,49173.59,Dent,,,,1.7,0.408,19.46,6.98,05:52:00,,,0.7,211.2,,MFL-A/XT,,1160.0,65000.0,,1342.0,,,,,,,,,150.0,14988.110231999999,ft,494.284,in,177.292,in,,150.0,,True,False,False,15021.861041773402
13780.0,17.61,0.344,,,49190.72,GirthWeld,,,,,,,,,,,0.7,211.61,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14993.331456000002,ft,,in,,in,,,,False,False,False,15027.084721863588
13790.0,40.12,0.344,,,49208.33,GirthWeld,,,,,,,,,,,0.7,211.93,,,,1160.0,65000.0,,1342.0,,,,,,,,,,14998.698984,ft,,in,,in,,,,False,False,False,15032.454774775913
13800.0,40.1,0.344,,,49248.45,GirthWeld,,,,,,,,,,,0.7,212.93,,,,1160.0,65000.0,,1342.0,,,,,,,,,,15010.92756,ft,,in,,in,,,,False,False,False,15044.689103159932
13810.0,40.09,0.344,,,49288.55,GirthWeld,,,,,,,,,,,0.7,213.44,,,,1160.0,65000.0,,1342.0,,,,,,,,,,15023.150040000002,ft,,in,,in,,,,False,False,False,15056.917332676361
13820.0,40.1,0.344,,,49328.63,GirthWeld,,,,,,,,,,,0.7,212.61,,,,1160.0,65000.0,,1342.0,,,,,,,,,,15035.366424,ft,,in,,in,,,,False,False,False,15069.139463325197
13830.0,39.84,0.344,,,49368.73,GirthWeld,,,,,,,,,,,0.7,210.99,,,,1160.0,65000.0,,1342.0,,,,,,,,,,15047.588904000002,ft,,in,,in,,,,False,False,False,15081.367692841626
